"id","duration","age","gender","sexuality","monogamy","nb_gender_attraction","sexualstandards_1","sexualstandards_2","sexualstandards_3","sexualstandards_4","sexualstandards_5","sexualstandards_6","sexualstandards_7","sexualstandards_8","sexualstandards_9","complexity_1","complexity_2","complexity_3","complexity_4","complexity_5","complexity_6","complexity_7","sexdrive_1","sexdrive_2","sexdrive_3","sexdrive_4","sexdrive_5","performanceandorgasm_1","performanceandorgasm_2","performanceandorgasm_3","performanceandorgasm_4","player_1","player_2","player_3","player_4","emotionalsex_1","emotionalsex_2","emotionalsex_3","courtship_1","courtship_2","courtship_3","courtship_4","courtship_5","courtship_6","courtship_7","courtship_8","initiators_1","initiators_2","initiators_3","initiators_4","appearance_1","appearance_2","appearance_3","appearance_4","appearance_5","doublestandards_1","doublestandards_2","doublestandards_3","doublestandards_4","doublestandards_5","ammsa_1","ammsa_2","ammsa_3","ammsa_4","ammsa_5","ammsa_6","ammsa_7","ammsa_8","ammsa_9","ammsa_10","ammsa_11","ammsa_12","ammsa_13","ammsa_14","ammsa_15","ammsa_16","ammsa_17","ammsa_18","ammsa_19","ammsa_20","ammsa_21","consent","arranged_1","situation_1","situation_2","situation_3","sex_1","sex_2","sex_3","sex_4","sex_5","sexlocation_1","sexlocation_2","sexlocation_3","sexlocation_4","sexlocation_5","sexlocation_6","contraception_1","contraception_2","contraception_3","contraception_4","contraception_5","metbefore","knownbefore","substances_1","substances_2","substances_3","substances_4","drunkstoned_1","drunkstoned_2","consentboy_1","consentboy_2","consentgirl_1","consentgirl_2","afterfeeling_1","afterfeeling_2","outlookgirl_1","outlookgirl_2","outlookgirl_3","outlookboy_1","outlookboy_2","outlookboy_3"
11,850,22,1,1,1,NA,4,3,3,4,4,3,2,2,4,4,5,5,5,5,3,2,6,5,5,6,5,5,3,3,5,4,2,4,4,6,5,5,3,4,2,2,4,3,3,5,6,4,4,3,5,4,3,3,4,3,4,4,2,4,4,5,2,2,1,2,4,4,4,4,1,4,5,3,4,3,2,5,3,7,1,1,4,5,3,2,3,2,4,2,3,4,2,2,1,1,1,5,5,5,1,1,3,4,4,4,1,1,2,2,2,1,1,1,4,4,3,2,2,4,3,5
12,819,35,2,1,1,NA,2,2,2,2,3,3,2,2,2,5,5,5,6,6,5,2,5,5,3,2,4,2,2,2,5,4,5,3,4,3,3,2,2,4,2,5,5,2,2,2,5,2,4,2,5,2,4,5,3,5,2,2,2,2,2,5,5,2,3,4,5,5,4,4,3,5,5,6,6,5,3,6,4,2,5,1,5,5,5,5,5,2,5,5,2,4,4,1,2,2,2,4,5,5,1,1,3,4,4,5,1,1,2,3,1,1,1,1,5,4,3,3,2,3,3,2
13,452,36,2,1,1,NA,4,2,4,2,5,5,2,3,5,4,4,5,4,3,4,4,4,3,4,2,3,2,3,4,5,4,4,3,4,3,3,2,4,2,1,4,3,3,2,3,3,3,2,6,5,4,4,3,4,1,3,3,2,2,3,3,3,1,3,3,2,2,1,4,3,2,2,2,1,3,1,4,1,4,2,1,5,4,2,2,4,4,2,4,3,1,4,1,1,1,1,4,5,4,2,2,4,4,4,4,1,1,2,2,1,2,1,2,4,4,5,2,2,4,2,2
14,833,25,2,1,1,NA,3,2,4,2,2,3,4,2,2,5,5,4,5,5,3,5,6,5,5,5,4,3,2,2,3,3,5,2,4,3,4,3,2,4,1,2,1,1,1,2,4,4,3,4,4,3,2,4,4,4,5,4,2,4,2,2,3,2,2,2,2,2,2,6,2,2,2,2,2,2,3,2,4,3,2,1,4,5,4,2,5,4,3,4,2,2,5,2,2,3,2,2,3,5,2,1,3,4,5,5,2,1,3,3,3,3,2,3,5,3,2,4,3,3,3,3
15,547,40,1,1,1,NA,2,2,2,2,3,4,4,2,3,6,5,5,5,5,5,6,4,4,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,3,5,5,3,6,4,5,3,5,5,4,4,4,5,3,2,3,5,4,3,3,5,3,5,3,3,5,5,3,4,3,4,2,5,6,5,2,1,4,4,2,2,4,4,4,4,3,4,4,2,4,3,3,2,2,2,4,5,1,1,5,5,1,1,4,4,1,4,3,1,2,2,4,2,3,2,4,4
16,619,42,1,1,1,NA,4,3,3,4,4,3,4,4,2,5,5,4,3,3,4,3,2,2,3,3,3,5,4,6,5,4,4,3,4,4,5,3,4,4,2,3,3,3,3,3,4,3,4,4,4,4,3,3,5,3,4,3,3,3,4,3,5,3,2,3,3,3,5,4,3,4,5,4,1,3,1,4,4,5,1,1,4,3,4,4,4,4,3,3,4,4,4,1,2,1,2,4,4,4,2,2,2,4,4,4,1,1,3,3,1,2,1,2,4,4,4,3,2,3,3,3
17,598,31,2,1,1,NA,3,1,2,1,4,2,1,1,2,5,5,6,6,4,5,4,5,4,5,4,5,2,3,4,6,4,4,3,4,5,5,5,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,4,4,4,5,5,2,1,4,1,5,1,1,1,1,1,1,4,1,1,5,2,2,1,4,2,4,1,1,1,5,2,4,2,4,2,4,4,2,4,4,2,1,1,1,4,4,2,1,1,5,4,4,1,2,1,1,1,4,1,2,2,4,4,4,2,2,4,4,4
18,699,29,2,1,1,NA,3,2,3,2,3,3,3,5,3,5,6,4,5,4,5,2,4,3,5,3,5,4,2,4,6,3,4,3,3,6,6,3,1,3,1,5,4,4,3,4,6,6,6,5,4,3,1,5,5,4,5,6,2,1,4,5,4,1,4,4,4,3,6,4,2,5,6,4,4,2,4,4,4,5,4,1,4,3,3,2,4,2,3,4,2,3,3,2,2,1,2,4,3,1,5,4,5,5,4,5,2,1,3,3,3,1,3,4,4,4,4,2,2,2,4,4
19,548,31,2,1,1,NA,3,2,2,2,5,5,3,2,4,6,5,5,5,5,5,5,6,6,5,5,5,2,2,3,4,6,6,4,6,5,5,5,4,2,2,2,4,3,1,4,4,4,4,3,4,4,5,4,4,5,5,6,2,1,1,3,2,1,2,1,2,2,4,5,1,2,2,2,1,2,3,4,2,3,2,1,5,3,3,4,4,3,4,3,3,2,5,1,1,1,1,4,4,5,1,2,4,4,4,4,2,1,3,2,2,3,1,1,4,3,3,3,3,2,4,3
20,842,28,2,1,1,NA,4,3,3,3,3,3,1,3,3,3,6,4,5,4,1,3,6,6,6,6,6,3,1,1,3,6,6,1,6,1,1,1,3,1,1,3,3,1,1,1,5,3,2,1,1,1,3,3,4,4,2,3,1,5,1,2,2,1,1,1,2,1,4,5,1,3,1,4,5,1,5,5,4,1,1,1,5,4,2,2,3,2,4,3,1,2,3,1,1,1,1,1,5,2,1,1,5,5,4,4,1,1,2,2,2,1,1,1,4,4,5,1,1,5,1,1
21,488,29,2,1,1,NA,2,1,1,1,1,2,2,1,1,6,6,6,2,5,2,3,5,2,2,2,1,1,2,5,5,1,1,1,1,6,6,5,1,4,1,1,1,1,1,1,6,5,3,2,1,1,1,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,4,4,1,1,5,4,1,1,5,4,2,4,4,4,4,5,4,5,2,2,2,2,2,5,5,1,1,1,4,4,5,5,1,1,3,3,1,1,1,1,5,5,5,1,1,4,2,2
22,705,69,2,1,1,NA,5,4,6,5,5,2,6,6,2,1,4,6,6,6,6,2,1,2,2,2,2,6,6,5,6,6,4,1,6,5,5,5,1,4,1,1,1,1,1,1,5,3,4,2,4,2,1,1,4,3,3,3,1,1,1,1,1,1,1,1,2,1,2,2,1,1,5,2,2,1,1,1,1,6,1,1,5,4,2,1,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,4,3,3,3,3,4,2,1,1,4,2,1,5,5,1,5,5
23,947,38,2,1,1,NA,4,4,5,4,4,3,3,4,4,4,4,6,5,3,5,2,2,2,2,2,2,4,2,2,5,4,4,2,4,3,4,3,2,2,1,2,1,1,2,3,4,4,2,3,3,1,2,2,3,1,2,3,1,2,4,2,1,1,1,2,2,4,3,4,1,2,4,2,4,4,1,3,5,4,1,1,4,5,2,4,4,5,2,4,4,5,5,3,2,4,2,4,5,2,1,1,5,4,5,5,1,1,3,3,1,1,1,1,5,5,3,3,2,4,2,1
24,865,37,2,1,1,NA,4,2,3,3,4,3,2,2,2,5,4,4,5,4,3,3,4,4,3,4,4,2,2,2,4,4,4,2,3,3,4,4,1,3,1,1,1,2,1,1,4,1,1,3,2,2,2,1,2,2,1,2,1,2,4,3,5,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,5,5,1,1,5,4,4,2,2,1,5,3,3,2,4,1,1,1,3,5,5,2,1,1,5,4,3,3,1,1,1,1,2,1,2,2,5,5,4,2,2,4,2,2
25,755,46,2,1,1,NA,4,3,3,3,5,5,4,3,3,5,5,5,5,5,4,5,4,4,3,4,4,5,5,5,5,4,4,3,4,5,5,3,3,3,3,3,4,3,2,2,5,4,4,3,3,4,2,3,3,4,4,4,2,2,1,2,4,2,3,2,1,5,1,2,1,3,2,1,3,1,1,3,2,4,1,1,4,4,2,2,4,3,3,4,2,3,3,1,1,1,1,2,2,4,1,2,4,4,4,5,1,1,2,2,2,2,2,2,4,4,4,3,4,3,3,3
26,579,44,2,1,1,NA,1,1,1,1,1,1,1,1,1,4,3,3,4,4,5,2,3,1,1,1,1,3,1,4,6,3,5,1,3,4,2,2,3,2,1,1,1,1,1,1,4,1,1,1,5,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,4,1,2,4,1,1,4,1,1,1,1,1,3,1,4,1,3,4,5,5,1,1,2,2,5,1,1,1,3,1,4,1,1,2,4,4
27,712,28,2,1,1,NA,2,1,2,1,1,2,1,1,1,4,5,5,5,1,6,2,5,1,4,2,1,3,3,2,6,3,5,3,2,5,5,3,1,1,1,2,1,2,1,2,4,2,4,2,1,4,1,2,2,1,1,4,1,1,2,1,5,1,1,1,2,2,1,5,1,1,2,2,1,3,1,5,4,3,1,1,4,4,4,1,4,1,2,3,1,4,1,2,1,1,1,5,5,5,1,1,4,4,4,4,1,1,2,2,2,1,1,1,5,5,4,2,1,4,3,1
28,871,49,2,1,1,NA,2,1,2,2,2,2,3,2,2,4,4,4,4,4,4,4,5,5,5,5,5,3,2,3,5,4,3,4,4,4,4,6,3,2,2,3,2,1,2,3,5,3,4,5,4,1,2,2,2,2,2,3,1,1,1,3,3,1,1,1,1,3,2,4,2,5,3,1,1,1,1,2,2,5,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,2,4,3,4,1,1,1,1,1,1,1,1,5,5,1,5,1,2,1,1
29,1078,38,2,1,1,NA,2,2,2,1,2,2,1,2,2,5,6,6,6,5,6,4,5,5,5,5,5,4,3,4,4,5,5,3,5,5,5,4,2,3,1,2,1,1,1,1,4,2,2,2,4,5,2,4,5,5,4,4,4,2,4,1,5,2,3,1,2,4,4,5,2,1,1,6,4,2,1,2,1,1,1,1,5,3,3,4,4,3,2,4,3,1,4,1,1,1,1,4,5,1,1,1,1,4,4,4,1,1,1,1,2,1,1,1,5,5,4,3,4,4,4,1
30,1111,54,1,1,1,NA,6,5,4,5,5,4,4,5,5,3,3,3,2,6,4,2,6,5,5,5,3,1,3,1,3,2,2,1,2,6,6,4,5,6,2,4,2,3,2,2,6,2,3,2,2,2,3,3,4,3,5,4,2,3,2,5,1,2,3,4,2,1,5,2,2,4,5,2,1,2,2,2,2,6,2,1,5,4,3,1,3,3,2,3,3,4,3,1,3,1,1,4,2,2,4,1,4,4,2,2,1,1,1,2,2,1,1,1,3,4,3,3,3,5,3,1
31,467,41,1,1,1,NA,2,3,2,3,2,3,3,3,2,5,5,5,5,4,5,4,2,2,2,3,3,6,5,5,5,1,2,2,2,5,5,3,4,5,2,2,3,4,3,4,5,3,3,4,5,2,3,4,4,2,2,2,3,2,4,4,4,4,5,2,5,4,4,4,5,4,4,5,2,5,2,4,6,4,2,1,3,2,3,3,4,3,3,4,3,3,4,1,1,1,2,3,4,2,1,1,4,4,2,2,1,1,1,1,3,3,1,1,3,3,4,2,1,4,2,1
32,762,62,2,1,1,NA,3,3,3,3,3,3,2,2,3,4,5,5,4,3,4,4,3,2,2,3,2,4,3,4,4,4,4,4,4,4,4,4,2,3,1,2,2,2,1,1,4,2,2,2,2,2,4,3,3,4,2,3,2,2,4,3,2,4,2,1,2,1,3,3,4,2,5,3,7,2,1,3,2,2,2,1,2,3,2,3,2,2,2,4,2,2,1,1,1,1,1,5,4,4,1,1,1,1,4,4,4,1,2,2,4,1,4,2,3,2,1,5,2,4,3,4
33,1065,44,1,1,1,NA,2,1,1,2,2,1,1,3,2,5,4,4,5,5,3,3,2,2,2,2,2,5,2,5,5,4,4,5,4,4,4,3,3,3,1,1,1,1,1,3,4,2,2,3,4,2,1,1,4,1,2,2,1,1,1,2,4,1,1,1,1,4,1,2,1,2,4,3,1,4,1,4,1,2,1,1,3,5,2,4,4,4,3,3,4,5,2,1,1,5,2,3,4,4,4,4,1,1,5,5,1,2,3,3,1,1,1,1,5,5,3,3,2,3,3,2
34,869,22,1,1,1,NA,2,1,1,1,2,2,2,1,1,4,4,5,4,3,3,3,3,1,3,3,2,4,2,5,5,3,4,4,4,3,4,3,3,5,1,4,3,2,1,2,4,3,2,4,3,3,2,2,4,3,2,3,3,1,3,1,5,1,1,1,2,2,5,1,4,1,2,4,2,2,1,3,2,2,1,1,4,4,2,2,3,3,3,3,3,4,4,3,2,2,2,4,5,5,1,1,3,4,4,4,3,3,2,2,1,2,2,1,5,5,3,3,1,3,3,1
35,839,36,2,1,1,NA,2,2,2,2,2,2,2,2,2,4,4,4,3,4,5,4,2,2,2,2,2,3,2,3,4,5,4,5,5,4,5,3,2,2,2,3,2,3,1,1,4,3,3,3,4,4,4,4,4,3,3,2,2,1,5,2,3,3,3,2,3,3,3,2,2,3,3,3,6,3,4,2,5,2,1,1,5,4,3,3,4,4,4,4,4,4,4,2,2,2,2,5,5,5,1,1,3,4,4,4,1,1,2,2,2,1,2,1,5,5,4,2,1,4,2,1
36,617,26,2,1,1,NA,1,1,1,1,1,1,1,1,1,5,6,6,1,1,4,6,1,2,1,1,3,6,2,6,6,1,5,1,2,4,4,1,1,1,4,1,1,1,1,5,6,4,1,4,1,1,4,5,1,6,6,4,1,1,1,1,4,1,1,1,1,1,7,1,1,1,5,2,6,1,4,7,7,7,1,1,4,4,2,4,5,2,3,5,3,2,5,3,3,1,1,2,1,1,1,1,2,2,5,5,3,3,3,5,3,4,1,1,5,1,1,5,5,1,5,5
37,1133,35,2,1,1,NA,4,4,4,4,4,4,5,4,3,4,4,3,3,3,4,3,3,4,4,4,3,4,3,4,3,3,3,4,3,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,3,4,4,4,3,5,4,4,4,4,5,5,5,4,5,4,5,5,5,4,4,5,5,5,6,4,6,5,5,5,1,5,3,1,4,5,4,3,4,4,4,3,1,2,1,2,4,4,1,2,2,4,4,2,2,1,1,1,1,2,2,1,3,4,4,5,2,1,3,3,3
39,583,35,2,1,1,NA,3,2,2,3,2,3,1,3,2,5,6,6,6,5,6,5,3,2,2,2,1,5,3,1,5,4,4,3,3,4,6,4,2,4,1,4,4,3,2,2,5,4,2,3,5,5,4,3,5,2,4,2,3,2,5,7,5,4,4,2,4,4,5,6,1,6,5,3,6,3,1,1,6,5,2,1,4,4,3,1,4,3,4,3,2,1,4,1,2,1,3,1,5,3,2,1,4,4,4,4,1,1,2,2,2,2,1,1,4,4,3,3,2,3,3,2
40,808,59,1,1,2,NA,3,2,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,2,4,2,2,4,4,3,2,3,2,2,2,1,4,2,3,2,2,4,2,3,2,3,4,3,4,3,2,2,2,2,3,1,2,1,1,1,2,3,1,2,1,2,1,2,1,1,3,3,1,1,4,4,2,3,4,3,3,4,3,2,3,2,2,3,4,5,5,5,1,3,1,4,3,3,2,2,1,1,1,1,1,1,4,4,3,3,2,3,3,2
41,785,46,2,1,1,NA,3,3,4,3,3,3,5,4,3,4,4,5,5,4,5,3,5,5,5,5,5,4,2,2,4,3,3,2,3,4,5,2,4,3,3,2,2,4,2,3,4,3,4,4,5,3,4,5,4,3,4,4,2,2,4,4,2,2,4,5,4,5,2,4,4,4,2,2,3,2,1,5,4,6,2,1,4,5,2,3,4,2,4,4,3,2,4,2,2,4,5,5,5,4,1,1,3,4,4,4,3,3,3,4,4,2,1,1,3,2,4,3,2,3,3,3
42,565,32,2,1,1,NA,4,3,5,3,4,3,5,4,5,4,4,4,5,4,3,4,2,1,3,2,2,4,3,3,4,5,5,2,5,5,4,1,1,1,1,2,1,1,1,1,5,2,1,2,3,1,5,1,2,2,1,2,1,1,2,2,3,1,1,1,2,1,1,3,1,2,1,1,1,1,1,2,1,3,1,1,4,4,2,1,4,2,1,4,1,4,2,1,1,1,1,4,5,2,1,1,5,5,4,4,1,1,3,2,1,1,1,1,4,2,5,2,3,4,2,2
43,742,66,2,1,1,NA,3,3,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,3,2,2,3,3,2,2,3,4,3,3,4,4,4,4,4,4,2,4,3,2,2,4,3,4,3,3,3,3,4,3,3,3,3,4,2,2,4,4,3,4,5,3,1,5,3,3,2,3,2,2,3,3,3,3,1,1,1,3,2,5,1,3,2,4,5,4,4,3,1,2,2,3,1,2,2,3,3,4,2,2,3,3,3
44,1434,27,2,1,1,NA,4,4,4,4,2,2,2,1,2,5,5,2,5,4,5,2,3,3,3,5,3,6,4,4,6,4,4,3,4,5,4,3,2,1,1,2,4,2,1,4,5,2,2,4,4,4,4,4,4,5,5,5,3,3,4,3,3,4,5,4,4,5,5,4,4,5,5,4,4,4,5,5,5,4,4,1,5,1,4,4,5,2,2,5,2,4,4,1,1,1,4,5,5,4,1,2,5,5,4,1,2,1,1,1,4,2,2,3,5,4,5,2,2,3,3,2
45,633,40,1,1,1,NA,2,1,1,1,4,3,2,1,4,5,5,6,4,5,4,3,3,3,3,3,3,6,4,4,3,4,4,3,4,4,4,3,2,4,1,3,5,1,1,4,5,2,3,2,4,5,3,3,4,2,3,4,2,1,4,4,4,1,1,1,1,1,1,7,2,1,1,1,1,1,1,1,4,5,4,1,4,4,3,3,2,3,3,3,3,3,3,2,3,2,3,5,5,4,1,1,4,4,4,4,1,1,2,2,3,3,3,3,4,4,3,3,3,3,3,2
46,418,21,2,1,1,NA,4,2,5,2,4,4,1,1,4,6,6,6,5,4,5,5,5,1,4,3,4,2,2,4,4,5,4,5,5,5,6,5,4,2,2,1,4,4,1,4,6,5,4,4,4,2,4,4,2,5,2,5,2,2,1,2,5,1,1,1,1,2,1,3,2,1,1,2,4,2,1,1,4,1,1,1,2,4,2,1,4,1,4,4,1,1,4,4,2,4,3,2,4,4,2,2,3,5,4,4,2,1,3,3,4,4,2,2,4,2,2,4,4,1,4,2
47,821,34,1,1,1,NA,1,4,1,3,2,3,3,6,1,5,4,5,4,3,6,4,3,3,4,3,4,6,4,4,5,4,4,4,4,4,4,4,3,3,2,4,1,2,2,4,6,2,3,4,4,4,3,3,4,3,3,3,5,4,5,3,5,4,3,3,4,5,3,3,3,4,4,4,4,3,4,3,4,4,3,1,4,4,5,4,4,4,3,3,4,2,4,5,2,2,4,3,5,3,3,2,1,1,4,4,1,1,2,2,2,2,2,2,3,3,4,4,2,4,5,4
48,571,28,2,1,1,NA,2,2,3,2,3,3,3,2,3,4,4,4,3,3,3,3,3,2,3,3,3,4,3,3,4,2,2,2,2,3,3,3,3,3,1,2,2,4,2,4,4,3,3,4,4,2,2,4,2,3,3,2,2,1,2,2,4,2,2,2,2,2,6,4,1,2,4,2,2,2,2,3,3,5,1,1,5,4,2,2,4,4,2,3,3,4,4,2,2,2,2,5,5,5,1,2,4,5,2,2,1,1,1,1,1,1,1,1,4,4,4,2,2,4,2,2
49,981,28,1,1,1,NA,5,5,5,5,5,4,5,6,5,5,5,5,2,4,4,3,4,3,3,4,3,6,4,4,5,4,4,1,4,3,2,3,2,4,2,4,4,6,1,4,6,4,5,5,5,1,6,5,4,2,4,1,3,5,5,2,4,6,5,5,3,3,6,5,7,3,4,5,1,5,2,5,2,6,3,1,5,5,5,5,4,5,2,5,5,3,5,1,1,2,3,5,4,4,1,2,4,5,4,4,3,3,2,2,1,1,1,1,5,5,5,2,1,4,3,1
50,600,35,1,1,1,NA,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,2,2,2,5,3,2,4,4,4,4,3,4,3,5,5,5,5,5,5,3,5,4,3,3,5,5,3,5,4,6,3,4,5,5,4,6,4,4,6,6,6,4,6,4,4,4,6,5,4,1,5,4,2,4,2,2,4,2,4,2,2,4,2,2,4,5,5,5,5,1,1,1,4,4,1,1,3,3,1,1,5,1,1,1,1,5,5,1,5,5
